,Word,Conc.M,Conc.SD
2300,circle,4.44,0.97
2301,circuit,3.83,1.29
2302,circuitry,3.85,1.29
2303,circulation,3.03,1.43
2304,circumcision,4.13,1.17
2305,circumference,3.96,1.27
2306,circumspection,1.84,0.8
2307,circumstance,1.77,0.97
2308,circumstances,1.59,0.84
2309,circus,4.43,0.73
2310,citadel,4.61,0.66
2311,citation,3.66,1.14
2312,citizen,4.43,1.01
2313,citizenry,2.65,1.5
2314,citizenship,2.96,1.53
2315,citrus,4.21,1.02
2316,city,4.79,0.57
2317,cityscape,4.69,0.66
2318,civics,2.21,1.29
2319,civility,1.62,0.86
2320,civilization,3.32,1.52
2321,claimer,2.93,1.59
2322,clairvoyance,1.69,1.14
2323,clairvoyant,2.31,1.19
2324,clam,4.89,0.57
2325,clambake,3.62,1.47
2326,clamor,2.8,1.19
2327,clampdown,3.12,1.39
2328,clan,3.46,1.6
2329,clang,3.96,1.16
2330,clank,2.84,1.65
2331,clansman,3.52,1.39
2332,clapper,3.92,1.06
2333,clarification,1.93,1.18
2334,clarifier,2.56,1.19
2335,clarinet,4.92,0.27
2336,clarinetist,4.42,1.14
2337,clarity,2.0,1.1
2338,clash,2.63,1.35
2339,clasp,4.41,0.95
2340,class,3.85,1.32
2341,classes,3.74,1.16
2342,classics,2.54,1.45
2343,classification,2.52,1.57
2344,classism,1.81,1.08
2345,classmate,4.32,0.86
2346,classroom,4.76,0.51
2347,classwork,4.19,1.0
2348,clatter,3.19,1.49
2349,clause,2.73,1.48
2350,claustrophobia,2.52,1.5
2351,clavicle,4.5,1.1
2352,claw,4.83,0.47
2353,clay,4.93,0.26
2354,cleaner,3.78,1.15
2355,cleanliness,2.63,1.28
2356,cleanness,3.61,1.4
2357,cleanser,4.59,0.63
2358,cleansing,2.75,1.35
2359,cleanup,3.04,1.59
2360,clearance,2.19,1.36
2361,clearinghouse,3.23,1.48
2362,clearness,2.48,1.45
2363,cleat,4.5,1.26
2364,cleavage,4.64,0.57
2365,cleaver,4.7,0.82
2366,clef,4.35,1.06
2367,cleft,4.31,1.05
2368,clergy,4.03,1.3
2369,clergyman,4.73,0.52
2370,cleric,4.39,0.89
2371,clerk,4.28,1.28
2372,clerkship,2.41,1.19
2373,cleverness,2.07,1.15
2374,cliche,2.33,1.32
2375,clicker,4.32,1.19
2376,client,3.9,1.27
2377,clientele,3.31,1.39
2378,cliffhanger,2.92,1.13
2379,cliffy,2.75,1.45
2380,climate,3.5,1.48
2381,climax,2.86,1.48
2382,climber,4.5,0.75
2383,clinch,2.92,1.41
2384,clincher,2.15,1.2
2385,clinger,2.96,1.2
2386,clinic,4.24,1.06
2387,clinician,4.12,1.12
2388,clink,3.2,1.54
2389,clip,4.37,1.1
2390,clipboard,4.93,0.27
2391,clipper,4.3,1.03
2392,clipping,4.0,1.13
2393,clips,4.3,1.09
2394,clique,2.68,1.52
2395,clitoris,4.93,0.25
2396,cloak,4.71,0.9
2397,cloakroom,4.48,1.24
2398,clock,5.0,0.0
2399,clockmaker,4.34,1.04
2400,clockwork,3.36,1.39
2401,clog,3.47,1.41
2402,clone,4.34,0.86
2403,cloning,2.69,1.31
2404,closeness,2.39,1.34
2405,closet,4.83,0.47
2406,closeup,3.42,1.21
2407,closure,1.78,1.28
2408,clot,4.2,1.19
2409,cloth,4.9,0.31
2410,clothes,4.76,0.69
2411,clothesline,4.86,0.45
2412,clothespin,4.41,1.37
2413,clothier,3.69,1.44
2414,clothing,4.43,1.1
2415,cloud,4.54,1.07
2416,cloudburst,3.78,1.45
2417,cloudiness,3.68,1.49
2418,clove,4.42,0.86
2419,clover,4.69,0.84
2420,cloverleaf,4.86,0.36
2421,clown,4.9,0.31
2422,clownishness,2.2,1.21
2423,club,3.78,1.45
2424,clubfoot,4.46,0.98
2425,clubhouse,4.61,0.83
2426,clubwoman,4.08,1.1
2427,cluck,3.33,1.4
2428,clue,2.93,1.56
2429,clump,4.0,1.13
2430,clumsiness,2.39,1.13
2431,clunk,3.26,1.51
2432,clunker,3.44,1.39
2433,cluster,4.04,1.45
2434,clutch,3.7,1.35
2435,clutter,3.68,1.36
2436,coach,4.12,1.05
2437,coachman,4.12,1.3
2438,coagulant,3.56,1.53
2439,coagulation,3.62,1.37
2440,coagulator,2.85,1.35
2441,coal,4.66,0.86
2442,coalition,2.75,1.43
2443,coalmine,4.8,0.5
2444,coarseness,3.14,1.43
2445,coast,4.21,1.1
2446,coaster,4.68,0.63
2447,coastguard,4.45,1.02
2448,coastline,4.54,0.9
2449,coat,4.97,0.19
2450,coating,3.97,1.1
2451,coatroom,4.83,0.47
2452,coattail,4.41,0.89
2453,coauthor,3.79,1.34
2454,cobalt,4.46,1.0
2455,cobbler,4.53,0.9
2456,cobblestone,4.79,0.5
2457,cobra,5.0,0.0
2458,cobweb,4.92,0.41
2459,cocaine,4.52,0.96
2460,cock,4.79,0.57
2461,cockatiel,4.88,0.6
2462,cockatoo,4.73,0.53
2463,cockfight,4.43,1.17
2464,cockiness,2.04,1.25
2465,cockpit,4.27,1.34
2466,cockroach,4.96,0.19
2467,cocksucker,2.62,1.36
2468,cocktail,4.4,0.89
2469,cocoa,4.89,0.42
2470,coconspirator,3.0,1.57
2471,coconut,4.79,0.83
2472,cocoon,4.83,0.53
2473,cod,4.61,1.1
2474,code,3.0,1.47
2475,codebook,3.88,1.39
2476,codefendant,2.81,1.55
2477,codeine,4.08,1.41
2478,codependency,1.89,1.34
2479,coder,3.42,1.53
2480,codeword,3.44,1.39
2481,codex,3.78,1.54
2482,codfish,4.71,0.94
2483,coding,3.03,1.45
2484,codpiece,4.22,1.28
2485,coefficient,1.85,1.08
2486,coercion,1.71,0.91
2487,coexistence,2.36,1.16
2488,coffee,4.81,0.79
2489,coffeehouse,4.93,0.27
2490,coffeemaker,4.93,0.38
2491,coffeepot,4.64,0.91
2492,coffer,3.8,1.32
2493,coffin,4.86,0.58
2494,cofounder,3.35,1.44
2495,cog,4.46,1.14
2496,cognac,4.54,1.1
2497,cognition,1.79,1.17
2498,cogwheel,4.69,0.55
2499,cohabitation,2.86,1.53
2500,coherence,2.62,1.29
2501,coherency,1.96,1.04
2502,cohesion,2.16,0.9
2503,cohort,2.75,1.39
2504,coil,4.56,0.75
2505,coin,4.89,0.42
2506,coinage,3.88,1.48
2507,coincidence,1.57,0.88
2508,coitus,4.08,1.32
2509,coke,4.83,0.54
2510,cola,4.79,0.56
2511,colander,4.21,1.38
2512,coldness,3.33,1.49
2513,coleslaw,4.67,0.88
2514,coliseum,4.93,0.27
2515,collaboration,2.59,1.37
2516,collaborationist,2.56,1.39
2517,collaborator,3.46,1.44
2518,collage,4.6,0.67
2519,collagen,3.67,1.27
2520,collar,4.64,0.91
2521,collarbone,4.85,0.46
2522,collard,3.96,1.31
2523,collateral,2.28,1.21
2524,colleague,3.79,1.32
2525,collection,4.04,1.13
2526,collector,4.1,1.14
2527,college,4.62,0.82
2528,collie,4.77,0.82
2529,collision,3.61,1.47
2530,colloquialism,1.88,1.18
2531,cologne,4.76,0.83
2532,colon,4.66,0.9
2533,colonel,3.89,1.26
2534,colonialism,1.85,1.17
2535,colonist,3.8,1.45
2536,colonization,2.69,1.26
2537,colonoscopy,4.16,1.14
2538,colony,3.77,1.11
2539,color,4.08,1.38
2540,coloration,2.59,1.37
2541,colorblind,3.54,1.29
2542,colorfast,2.65,1.47
2543,coloring,3.59,1.19
2544,colors,4.17,1.18
2545,colostomy,3.28,1.54
2546,column,4.48,0.7
2547,columnist,4.14,1.35
2548,coma,3.69,1.44
2549,combat,3.67,1.27
2550,combatant,3.72,1.19
2551,combativeness,2.15,1.01
2552,combination,2.86,1.24
2553,combo,3.37,1.42
2554,combustion,3.86,1.21
2555,comeback,2.23,1.25
2556,comedian,4.04,1.25
2557,comedienne,3.92,1.38
2558,comedy,3.1,1.26
2559,comet,4.67,1.03
2560,comeuppance,2.0,0.93
2561,comfort,2.89,1.34
2562,comforter,4.7,0.78
2563,comics,4.77,0.65
2564,comma,4.65,0.57
2565,command,2.48,1.24
2566,commandant,3.77,1.18
2567,commander,4.31,1.0
2568,commandment,2.53,1.14
2569,commando,3.9,1.29
2570,commemoration,2.6,1.44
2571,commencement,3.18,1.44
2572,commendation,2.44,1.53
2573,comment,3.29,1.56
2574,commentary,2.96,1.61
2575,commentator,4.15,1.06
2576,commerce,2.76,1.35
2577,commercialism,2.07,1.27
2578,commercialization,2.07,1.28
2579,commission,3.04,1.32
2580,commissioner,3.64,1.55
2581,commitment,1.74,1.13
2582,committal,1.77,0.86
2583,committee,4.14,0.99
2584,committeewoman,4.33,1.06
2585,commode,4.54,1.1
2586,commodity,2.91,1.59
2587,commodore,3.88,1.36
2588,commonality,1.74,1.12
2589,commoner,3.79,1.29
2590,commonness,1.74,0.98
2591,commonwealth,3.38,1.35
2592,commotion,2.71,1.38
2593,commune,2.89,1.52
2594,communicability,1.86,0.95
2595,communication,2.9,1.54
2596,communicator,3.21,1.53
2597,communion,3.39,1.45
2598,communism,1.86,1.3
2599,community,3.52,1.37
2600,commuter,3.03,1.27
2601,compact,3.04,1.31
2602,compacter,4.07,1.27
2603,compactor,4.57,0.73
2604,companion,3.75,1.29
2605,companionship,2.45,1.27
2606,company,4.11,1.15
2607,comparison,2.0,1.05
2608,compartment,3.57,1.4
2609,compartmentalization,2.39,1.23
2610,compass,4.66,0.94
2611,compasses,4.35,1.06
2612,compassion,1.89,1.01
2613,compatibility,1.94,1.11
2614,compatriot,3.24,1.36
2615,compensation,3.25,1.42
2616,compensator,2.93,1.62
2617,competence,1.78,0.97
2618,competency,1.81,0.94
2619,competition,3.86,1.22
2620,competitiveness,2.14,1.24
2621,competitor,3.23,1.36
2622,compilation,2.81,1.39
2623,compiler,2.46,1.53
2624,complacency,1.59,0.84
2625,complainer,2.81,1.47
2626,complaint,2.69,1.37
2627,complement,2.0,1.12
2628,completeness,2.2,1.3
2629,completion,2.33,1.24
2630,complexion,3.36,1.22
2631,complexity,1.87,1.25
2632,compliance,1.96,1.22
2633,complication,1.86,1.08
2634,complicit,2.46,1.43
2635,complicity,1.7,1.03
2636,compliment,2.82,1.36
2637,component,3.04,1.37
2638,composer,4.37,0.93
2639,composition,3.1,1.59
2640,compost,4.46,1.17
2641,composure,2.43,1.5
2642,compound,3.03,1.43
2643,compounder,3.32,1.47
2644,comprehension,1.78,0.85
2645,comprehensiveness,1.71,0.97
2646,compress,3.97,1.09
2647,compression,3.07,1.44
2648,compressor,4.39,0.96
2649,compromiser,2.78,1.42
2650,compulsion,1.79,1.26
2651,compulsiveness,1.79,1.08
2652,computation,2.92,1.32
2653,computer,4.93,0.26
2654,computerization,2.18,1.33
2655,computing,3.25,1.53
2656,comrade,3.69,1.34
2657,comradeship,2.2,1.13
2658,con,2.5,1.58
2659,concealment,2.52,1.18
2660,conceit,2.1,1.16
2661,concentration,2.1,1.08
2662,concept,1.41,0.64
2663,conception,2.24,1.46
2664,concern,1.7,1.02
2665,concert,4.35,0.8
2666,concerto,3.75,0.89
2667,concession,2.71,1.58
2668,conch,4.52,1.19
2669,concierge,3.89,1.4
2670,conciliation,1.96,0.75
2671,conclave,2.96,1.43
2672,conclusion,2.11,1.1
2673,concoction,3.5,1.31
2674,concordance,1.58,0.83
2675,concourse,3.96,1.46
2676,concubine,3.36,1.25
2677,concurrence,2.08,1.35
2678,concussion,3.19,1.47
2679,condemnation,2.04,1.23
2680,condensates,3.38,1.5
2681,condensation,4.24,1.06
2682,condenser,3.96,1.28
2683,condescension,2.3,1.32
2684,condiment,4.72,0.59
2685,condition,2.15,1.23
2686,conditioner,4.21,1.05
2687,conditioning,2.25,0.89
2688,condo,4.76,0.69
2689,condolence,2.19,1.08
2690,condom,4.87,0.43
2691,condominium,4.35,1.02
2692,condor,4.46,1.17
2693,conduction,2.65,1.32
2694,conductivity,2.67,1.21
2695,conductor,4.26,0.9
2696,conduit,3.58,1.24
2697,cone,4.86,0.59
2698,cones,4.57,0.88
2699,confection,3.84,1.49
2700,confectioner,4.08,1.23
2701,confectionery,3.75,1.53
2702,confederacy,2.79,1.63
2703,confederate,3.27,1.28
2704,confederation,2.86,1.46
2705,conference,3.86,1.27
2706,conferencing,2.8,1.29
2707,confession,2.4,1.33
2708,confessional,2.77,1.48
2709,confessor,3.04,1.56
2710,confetti,4.93,0.26
2711,confidant,3.03,1.5
2712,confidence,2.17,1.12
2713,confidentiality,2.47,1.57
2714,configuration,2.54,1.45
2715,confinement,3.61,1.34
2716,confirmation,2.39,1.2
2717,confiscation,2.9,1.47
2718,conflict,2.21,1.2
2719,confluence,2.22,1.48
2720,conformation,2.04,1.16
2721,conformism,1.93,1.02
2722,conformist,1.93,1.04
2723,conformity,1.79,1.18
2724,confrontation,2.53,1.31
2725,confuser,1.69,0.93
2726,confusion,2.24,1.41
2727,congestion,3.61,1.27
2728,conglomerate,2.52,1.4
2729,conglomeration,2.52,1.56
2730,congrats,2.12,1.45
2731,congratulation,2.27,1.23
2732,congratulations,2.44,1.4
2733,congregation,4.15,1.1
2734,congress,3.9,1.35
2735,congressman,4.58,1.03
2736,congresswoman,4.48,0.7
2737,congruity,1.68,0.99
2738,conjecture,1.75,1.14
2739,conjunction,2.15,1.35
2740,conjunctivitis,3.75,1.27
2741,conjurer,2.83,1.24
2742,conjuror,3.0,1.26
2743,conman,3.46,1.17
2744,connectedness,1.85,1.26
2745,connection,3.0,1.39
2746,connectivity,2.33,1.33
2747,connector,4.18,1.12
2748,connoisseur,2.7,1.51
2749,connotation,2.07,1.07
2750,conqueror,3.54,1.5
2751,conquest,2.54,1.2
2752,conquistador,4.34,0.97
2753,conscience,1.96,1.1
2754,conscientiousness,1.69,1.01
2755,consciousness,2.32,1.35
2756,conscription,2.16,1.11
2757,consecration,2.07,1.39
2758,consensus,2.32,1.25
2759,consent,2.08,1.16
2760,consequence,2.64,1.52
2761,conservation,2.41,1.39
2762,conservationist,3.17,1.44
2763,conservatism,1.89,1.03
2764,conservator,3.44,1.25
2765,conservatory,4.24,1.02
2766,consideration,1.86,1.27
2767,consignment,2.63,1.28
2768,consignor,3.44,1.61
2769,consistence,2.11,1.42
2770,consistency,2.55,1.18
2771,consolation,2.14,1.15
2772,consolidation,2.79,1.38
2773,consonant,3.21,1.52
2774,consortium,2.52,1.5
2775,conspiracy,1.76,1.16
2776,conspirator,2.37,1.62
2777,conspirer,2.93,1.41
2778,constable,4.54,0.95
2779,constancy,1.83,1.03
2780,constellation,4.31,1.0
2781,constipation,3.36,1.39
2782,constituency,2.56,1.48
2783,constituent,3.12,1.42
2784,constitution,3.23,1.68
2785,constitutionality,1.7,1.17
2786,constraint,2.93,1.27
2787,constriction,3.0,1.56
2788,constrictor,3.93,1.25
2789,construction,3.72,1.44
2790,constructionist,2.81,1.55
2791,constructor,3.86,1.15
2792,consul,3.36,1.35
2793,consulate,3.6,1.35
2794,consultant,3.97,1.33
2795,consultation,2.19,1.08
2796,consumer,3.57,1.45
2797,consumerism,2.08,1.38
2798,consummation,2.96,1.43
2799,consumption,3.16,1.4
2800,contact,3.86,1.41
2801,contagion,2.79,1.53
2802,container,4.85,0.36
2803,containment,3.33,1.39
2804,contaminant,3.62,1.47
2805,contamination,2.7,1.38
2806,contemplation,1.83,1.17
2807,contempt,1.82,1.25
2808,contender,3.0,1.22
2809,content,2.59,1.45
2810,contention,1.75,1.17
2811,contentment,2.25,1.29
2812,contents,3.65,1.3
2813,contest,3.52,1.24
2814,contestant,4.17,1.0
2815,contestation,1.68,1.25
2816,contester,2.92,1.56
2817,context,2.17,1.29
2818,continent,4.34,1.26
2819,contingency,2.03,1.21
2820,continuance,2.12,1.27
2821,continuation,2.36,1.16
2822,continuity,2.03,1.02
2823,continuum,2.36,1.25
2824,contortion,3.0,1.36
2825,contortionist,4.33,1.0
2826,contour,3.24,1.45
2827,contraband,3.33,1.37
2828,contraception,3.29,1.33
2829,contract,4.15,1.2
2830,contraction,3.53,1.5
2831,contractor,4.2,1.16
2832,contradiction,2.11,1.22
2833,contraption,3.66,1.26
2834,contrary,1.56,0.89
2835,contrast,2.64,1.31
2836,contribution,2.41,1.21
2837,contributor,3.6,1.19
2838,control,1.93,1.13
2839,controller,4.33,1.04
2840,controversy,2.29,1.33
2841,contusion,4.04,1.16
2842,conundrum,1.93,1.14
2843,convection,2.74,1.35
2844,convenience,2.04,1.1
2845,convent,3.96,1.51
2846,convention,3.28,1.39
2847,conventionality,1.96,1.09
2848,convergence,2.2,1.19
2849,conversation,3.28,1.41
2850,conversationalist,2.7,1.41
2851,conversion,2.46,1.14
2852,converter,3.61,1.29
2853,convertible,4.46,0.88
2854,conveyance,2.85,1.7
2855,conveyor,4.22,1.09
2856,conviction,2.07,1.25
2857,convincer,2.4,1.47
2858,convolution,1.82,1.09
2859,convoy,3.54,1.4
2860,convulsion,3.62,1.35
2861,cookbook,4.9,0.31
2862,cooker,4.22,0.97
2863,cookhouse,4.62,0.92
2864,cookie,5.0,0.0
2865,cooking,4.19,0.92
2866,cookout,4.25,1.11
2867,cookware,4.84,0.37
2868,coolant,4.25,0.93
2869,cooler,4.14,1.15
2870,coolness,2.67,1.27
2871,coonhound,4.29,1.21
2872,cooperation,2.03,1.13
2873,cooperator,3.32,1.44
2874,coordination,2.86,1.13
2875,coordinator,3.52,1.33
2876,coot,3.09,1.5
2877,cootie,2.71,1.54
2878,cop,4.3,1.23
2879,copier,4.72,0.7
2880,copilot,4.59,0.89
2881,copout,1.7,0.95
2882,copper,4.52,0.8
2883,copperhead,4.73,0.58
2884,copperplate,4.36,0.86
2885,copulation,3.28,1.43
2886,copy,3.9,1.35
2887,copybook,4.67,0.88
2888,copycat,3.65,1.26
2889,copyist,3.75,1.11
2890,copyright,3.04,1.72
2891,copywriter,4.07,1.25
2892,coral,4.4,1.13
2893,cord,4.63,0.88
2894,cordiality,1.44,0.65
2895,cording,3.67,1.37
2896,corduroy,4.56,1.09
2897,core,3.96,1.28
2898,cork,4.86,0.45
2899,corkboard,4.92,0.27
2900,corkscrew,4.85,0.46
2901,corn,4.96,0.19
2902,cornball,4.04,1.45
2903,cornbread,4.79,0.62
2904,corncob,4.71,0.85
2905,cornea,4.86,0.44
2906,corner,4.61,0.99
2907,cornerstone,4.04,1.34
2908,cornfield,4.96,0.19
2909,cornflakes,4.82,0.61
2910,cornflower,4.71,0.71
2911,cornmeal,4.83,0.54
2912,cornstalk,4.72,0.92
2913,cornstarch,4.56,0.85
2914,cornucopia,4.11,1.45
2915,coronation,3.23,1.31
2916,coroner,4.34,1.23
2917,corporal,2.8,1.5
2918,corporation,2.79,1.47
2919,corps,3.43,1.37
2920,corpse,4.89,0.42
2921,corral,4.54,0.79
2922,correction,3.0,1.41
2923,correctness,2.36,1.13
2924,correlation,2.04,1.29
2925,correspondence,3.35,1.55
2926,correspondent,3.44,1.31
2927,corridor,4.72,0.8
2928,corroboration,1.92,1.12
2929,corrosion,4.26,1.05
2930,corruption,2.39,1.45
2931,corruptness,1.86,1.04
2932,corruptor,2.4,1.47
2933,corsage,4.38,1.13
2934,corset,4.48,1.09
2935,cortex,3.79,1.2
2936,cortisone,3.65,1.43
2937,cosmetician,4.15,1.35
2938,cosmetics,4.72,0.65
2939,cosmetologist,4.22,1.05
2940,cosmetology,3.0,1.41
2941,cosmologist,4.18,1.4
2942,cosmology,2.52,1.64
2943,cosmonaut,4.46,1.07
2944,cosmopolitan,2.65,1.44
2945,cosmos,3.19,1.69
2946,cosponsor,2.65,1.47
2947,costar,3.74,1.26
2948,costume,4.57,0.86
2949,costumer,4.04,1.26
2950,cot,4.67,0.68
2951,cottage,4.85,0.36
2952,cotton,4.97,0.19
2953,cottonmouth,3.75,1.35
2954,cottonwood,4.33,1.24
2955,couch,4.71,1.05
2956,cougar,4.82,0.55
2957,cough,4.36,1.19
2958,council,2.73,1.48
2959,councilman,4.26,1.1
2960,councilor,3.78,1.15
2961,councilwoman,4.59,0.75
2962,counsel,2.48,1.43
2963,counseling,2.85,1.41
2964,counselor,4.24,0.95
2965,countdown,3.3,1.2
2966,counter,4.17,1.07
2967,counteraction,2.22,1.2
2968,counteragent,3.12,1.51
2969,counterargument,2.17,1.31
2970,counterattack,2.92,1.35
2971,counterculture,1.97,1.16
2972,counterfeiter,3.96,1.26
2973,counterforce,2.38,1.24
2974,counterintelligence,2.38,1.35
2975,counterirritant,2.68,1.49
2976,countermeasure,2.93,1.39
2977,countermove,2.59,1.25
2978,counteroffer,2.85,1.32
2979,counterpart,2.63,1.39
2980,counterpoint,2.38,1.37
2981,counterproposal,2.55,1.5
2982,counterpunch,3.35,1.29
2983,counterrevolution,2.2,1.12
2984,countersign,2.83,1.49
2985,countersignature,3.44,1.36
2986,counterstrike,2.56,1.29
2987,countersuit,2.11,1.13
2988,counterterrorism,2.07,1.25
2989,counterterrorist,3.07,1.49
2990,counterweight,4.0,1.14
2991,countess,3.68,1.54
2992,country,4.17,1.18
2993,countryman,3.66,1.26
2994,countryside,4.48,0.94
2995,countrywoman,4.25,0.84
2996,county,4.04,1.1
2997,coup,3.0,1.44
2998,coupe,3.17,1.71
2999,couple,3.93,1.21
3000,coupler,3.6,1.26
3001,coupling,3.29,1.21
3002,coupon,4.79,0.49
3003,courage,1.52,0.99
3004,courier,4.58,0.76
3005,court,4.31,1.19
3006,courtesy,1.77,1.14
3007,courthouse,4.86,0.35
3008,courtier,3.45,1.22
3009,courtroom,4.63,0.74
3010,courtship,2.52,1.23
3011,courtside,3.65,1.32
3012,courtyard,4.57,0.94
3013,cousin,3.7,1.49
3014,cousinhood,2.25,1.51
3015,couture,2.64,1.25
3016,cove,4.57,0.82
3017,coven,3.68,1.38
3018,covenant,2.69,1.44
3019,coverage,2.7,1.18
3020,coverall,4.36,1.15
3021,coveralls,4.73,0.87
3022,cow,4.96,0.19
3023,coward,2.93,1.28
3024,cowardice,2.1,1.06
3025,cowbell,4.8,0.82
3026,cowboy,4.72,0.74
3027,cowgirl,4.63,0.69
3028,cowhand,4.29,1.16
3029,cowhide,4.76,0.64
3030,cowl,3.96,1.34
3031,cowlick,4.04,1.26
3032,coworker,4.28,1.03
3033,cowpoke,4.65,0.71
3034,cowpox,4.18,1.14
3035,cowskin,4.81,0.57
3036,coyness,2.04,1.34
3037,coyote,4.96,0.19
3038,crab,4.9,0.56
3039,crabber,3.09,1.53
3040,crabbiness,2.04,1.31
3041,crabgrass,4.52,1.05
3042,crabmeat,4.81,0.48
3043,crack,4.53,0.82
3044,crackdown,2.83,1.42
3045,cracker,4.96,0.19
3046,crackerjack,3.73,1.43
3047,crackers,4.93,0.37
3048,crackle,3.46,1.5
3049,crackpot,3.26,1.46
3050,crackup,2.96,1.35
3051,cradle,4.93,0.26
3052,craft,3.48,1.35
3053,crafter,3.42,1.3
3054,craftsman,4.0,1.13
3055,craftsmanship,2.64,1.32
3056,cramp,4.09,1.2
3057,cranberry,4.96,0.19
3058,cranium,4.5,1.14
3059,crankiness,1.9,1.06
3060,crap,3.67,1.3
3061,craps,3.48,1.34
3062,crash,3.79,1.32
3063,crasher,3.28,1.34
3064,crate,4.93,0.26
3065,crater,4.61,0.57
3066,crawfish,5.0,0.0
3067,crawler,4.0,1.17
3068,crawlers,4.12,1.13
3069,crawlspace,4.96,0.19
3070,crayfish,4.93,0.27
3071,crayon,4.87,0.34
3072,craze,2.04,1.11
3073,craziness,2.36,1.19
3074,cream,4.83,0.46
3075,creamer,4.66,0.94
3076,creamery,4.03,1.38
3077,crease,4.45,0.95
3078,creation,2.15,1.06
3079,creationism,1.69,1.05
3080,creationist,2.46,1.44
3081,creativity,1.8,1.21
3082,creator,3.07,1.51
3083,creature,4.07,0.98
3084,credence,1.92,1.12
3085,credentials,3.43,1.36
3086,credibility,2.29,1.61
3087,credit,2.71,1.49
3088,creditor,3.37,1.19
3089,creed,2.1,0.98
3090,creek,4.87,0.43
3091,creep,3.38,1.18
3092,creeper,3.48,1.16
3093,creepers,3.21,1.55
3094,cremation,3.69,1.47
3095,cremator,4.19,1.18
3096,crematorium,4.43,1.04
3097,crepe,4.5,1.11
3098,crescendo,3.04,1.28
3099,crescent,4.04,1.32
3100,crest,4.52,0.71
3101,cretin,3.45,1.26
3102,crevasse,4.69,0.55
3103,crevice,4.43,1.07
3104,crew,4.36,0.73
3105,crewman,4.39,0.99
3106,crib,4.86,0.45
3107,cribbage,3.58,1.6
3108,cricket,4.77,0.68
3109,crier,3.58,1.3
3110,crime,3.03,1.66
3111,criminalist,2.92,1.63
3112,criminality,1.87,1.14
3113,criminologist,3.6,1.52
3114,criminology,2.83,1.61
3115,crimp,4.0,1.24
3116,cripple,3.78,1.0
3117,crises,2.11,1.34
3118,crisis,2.33,1.45
3119,crispiness,3.36,1.35
3120,crispness,3.58,1.32
3121,crisps,4.04,1.19
3122,criteria,2.5,1.29
3123,critic,3.55,1.55
3124,criticism,2.07,1.33
3125,critique,2.55,1.55
3126,critter,4.19,0.92
3127,croaker,3.57,1.34
3128,crock,3.56,1.42
3129,crockery,3.08,1.65
3130,crocodile,4.83,0.64
3131,croissant,4.96,0.19
3132,crook,3.79,1.26
3133,crookedness,3.44,1.4
3134,crooner,3.48,1.59
3135,crop,4.24,1.01
3136,croquet,4.59,0.69
3137,croquette,4.24,1.02
3138,crossbar,4.57,1.01
3139,crossbeam,4.82,0.39
3140,crossbones,4.07,1.12
3141,crossbow,4.77,0.67
3142,crossbreed,3.04,1.26
3143,crosscurrent,2.7,1.11
3144,crossfire,3.38,1.21
3145,crossness,1.78,1.0
3146,crossover,2.65,1.2
3147,crossroad,4.41,0.95
3148,crossroads,4.67,0.61
3149,crosswalk,4.62,0.7
3150,crossway,3.77,1.42
3151,crossways,3.67,1.4
3152,crosswind,3.61,1.64
3153,crossword,4.48,1.15
3154,crotch,4.77,0.51
3155,crouch,4.27,0.91
3156,crouton,4.9,0.4
3157,crow,4.93,0.26
3158,crowbar,4.87,0.43
3159,crowd,4.52,0.87
3160,crown,4.81,0.48
3161,crucible,3.48,1.48
3162,crucifix,4.45,1.09
3163,crucifixion,4.0,1.18
3164,crud,3.46,1.43
3165,crudeness,1.85,0.95
3166,cruelty,2.04,1.37
3167,cruise,4.03,1.24
3168,cruiser,3.78,1.55
3169,crumb,4.8,0.48
3170,crumpet,4.81,0.4
3171,crunch,3.36,1.38
3172,cruncher,3.31,1.41
3173,crunchiness,2.97,1.48
3174,crusade,2.78,1.4
3175,crusader,3.63,1.25
3176,crush,3.9,1.21
3177,crusher,4.0,1.14
3178,crust,4.59,0.75
3179,crustacean,4.66,0.86
3180,crutch,4.5,0.92
3181,crux,2.69,1.41
3182,crybaby,3.29,1.49
3183,cryogenics,3.7,1.35
3184,crypt,4.75,0.61
3185,cryptogram,3.92,1.28
3186,cryptograph,4.12,1.12
3187,cryptographer,3.61,1.44
3188,cryptography,3.54,1.27
3189,cryptologist,4.14,1.35
3190,cryptology,3.08,1.47
3191,crystal,4.58,0.81
3192,crystallization,3.46,1.32
3193,crystalloid,3.77,1.38
3194,cub,4.67,0.68
3195,cubby,3.77,1.24
3196,cubbyhole,4.19,1.06
3197,cube,4.62,0.77
3198,cubicle,4.83,0.76
3199,cubism,2.92,1.32
3200,cuckoo,4.42,1.06
3201,cucumber,4.83,0.76
3202,cue,3.31,1.44
3203,cuff,4.61,0.99
3204,cufflink,4.86,0.35
3205,cuisine,3.7,1.3
3206,culmination,1.96,1.0
3207,culpability,2.0,1.14
3208,culprit,3.39,1.1
3209,cult,2.71,1.51
3210,cultivation,3.13,1.42
3211,cultivator,3.79,1.37
3212,culture,2.04,1.34
3213,culvert,3.67,1.69
3214,cumin,4.93,0.27
3215,cummerbund,4.04,1.57
3216,cumulus,3.56,1.5
3217,cunnilingus,3.7,1.46
3218,cunningness,1.6,0.96
