All data;All data;All data;Young adults;Young adults;Young adults;Middle adults;Middle adults;Middle adults;Older adults;Older adults;Older adults
Total;First;Rank (SD);Total;First;Rank (SD);Total;First;Rank (SD);Total;First;Rank (SD)
A bird;Heron;-;-;-;-;-;-;0.08;0.01;6.00 (4.10);-;-;-
A bird;Jaybird;-;-;-;-;-;-;-;-;-;0.07;0.01;4.00 (2.83)
A bird;Peacock;-;-;-;0.06;0.01;3.80 (1.92);0.05;-;6.00 (2.00);-;-;-
A bird;Pelican;-;-;-;-;-;-;0.06;0.03;2.00 (1.22);-;-;-
A bird;Red bird;-;-;-;-;-;-;0.06;-;3.00 (1.73);-;-;-
A bird;Starling;-;-;-;-;-;-;0.05;-;5.25 (3.20);-;-;-
A bird;Stork;-;-;-;-;-;-;0.06;0.01;4.80 (2.28);-;-;-
A building for religious services;Church;0.97;0.83;1.23 (0.61);0.95;0.82;1.20 (0.56);0.99;0.82;1.28 (0.70);0.99;0.86;1.19 (0.55)
A building for religious services;Mosque;0.65;0.02;2.86 (1.02);0.64;0.02;2.67 (1.05);0.68;0.03;2.75 (0.95);0.64;0.02;3.12 (1.01)
A building for religious services;Temple;0.59;0.06;2.76 (1.16);0.65;0.04;3.00 (1.23);0.58;0.08;2.63 (1.18);0.55;0.06;2.60 (1.02)
A building for religious services;Synagogue;0.47;0.03;2.72 (0.98);0.34;0.02;2.96 (1.14);0.44;0.05;2.54 (1.04);0.63;0.02;2.69 (0.82)
A building for religious services;Cathedral;0.23;0.01;3.70 (1.35);0.13;-;3.90 (1.14);0.33;0.01;4.00 (1.33);0.23;0.01;3.15 (1.38)
A building for religious services;Chapel;0.23;0.02;3.14 (1.29);0.22;0.05;2.55 (1.38);0.24;-;3.57 (1.17);0.23;0.01;3.26 (1.15)
A building for religious services;Monastery;-;-;-;0.07;-;3.33 (1.21);-;-;-;-;-;-
A carpenter’s tool;Hammer;0.92;0.60;1.63 (1.07);0.92;0.57;1.76 (1.26);0.90;0.59;1.59 (1.01);0.98;0.64;1.54 (0.92)
A carpenter’s tool;Saw;0.75;0.17;2.56 (1.32);0.72;0.20;2.51 (1.49);0.77;0.13;2.70 (1.20);0.76;0.18;2.46 (1.26)
A carpenter’s tool;Screwdriver;0.45;0.01;3.52 (1.43);0.51;0.01;3.71 (1.67);0.43;0.01;3.61 (1.21);0.43;0.01;3.19 (1.28)
A carpenter’s tool;Nail;0.31;0.01;3.71 (1.81);0.43;0.02;3.61 (1.54);0.20;-;3.43 (2.25);0.29;-;4.04 (1.90)
A carpenter’s tool;Drill;0.28;-;3.90 (1.54);0.30;-;4.24 (1.94);0.32;0.01;3.60 (1.35);0.23;-;3.84 (1.12)
A carpenter’s tool;Level;0.24;0.02;4.07 (1.81);0.16;0.01;4.00 (1.41);0.27;0.03;4.00 (1.67);0.31;0.04;4.15 (2.13)
A carpenter’s tool;Measuring tape;0.19;0.01;3.81 (1.75);0.22;0.01;3.83 (1.79);0.20;0.03;2.93 (1.29);0.15;-;4.84 (1.72)
A carpenter’s tool;Chisel;0.15;0.02;3.47 (1.94);0.10;0.02;3.87 (2.42);0.19;0.04;3.26 (1.83);0.18;0.01;3.46 (1.88)
A carpenter’s tool;Planer;0.13;-;4.56 (1.88);0.05;-;4.00 (1.83);0.13;-;5.00 (2.31);0.21;0.01;4.44 (1.69)
A carpenter’s tool;Wrench;0.13;-;4.31 (1.69);0.19;0.01;4.50 (1.71);0.10;-;4.75 (1.91);0.10;-;3.50 (1.31)
A carpenter’s tool;Sander;0.12;0.01;4.83 (2.10);0.11;-;4.88 (2.37);0.14;0.03;4.27 (2.33);0.12;-;5.40 (1.58)
A carpenter’s tool;Ruler;0.10;0.02;3.67 (1.46);0.13;0.02;3.72 (3.00);0.08;0.01;2.50 (1.05);0.08;0.01;4.57 (2.23)
A carpenter’s tool;Pliers;0.09;-;4.41 (2.32);0.05;-;4.50 (1.91);0.09;0.01;5.57 (3.41);0.13;-;3.63 (1.29)
A carpenter’s tool;Awl;0.08;0.04;2.70 (2.32);0.02;0.01;3.00 (2.82);0.11;0.05;2.33 (1.87);0.11;0.06;3.00 (2.83)
A carpenter’s tool;Pencil;0.08;-;5.16 (1.57);0.11;-;4.44 (1.42);0.06;-;6.00 (1.58);0.06;-;5.60 (1.52)
A carpenter’s tool;Screw;0.07;-;5.00 (2.25);0.14;0.01;5.16 (2.52);0.03;-;4.00 (1.41);0.05;-;5.00 (2.00)
A carpenter’s tool;Square;0.04;;4.54 (2.18);-;-;-;0.04;0.01;3.33 (2.08);0.11;-;4.67 (2.18)
A carpenter’s tool;Axe;-;-;-;-;-;-;0.05;0.01;3.25 (2.63);-;-;-
A carpenter’s tool;File;-;-;-;-;-;-;0.06;0.01;4.00 (2.12);-;-;-
A carpenter’s tool;Glue;-;-;-;0.06;-;4.40 (2.79);-;-;-;-;-;-
A carpenter’s tool;Knife;-;-;-;0.07;0.02;4.00 (3.46);-;-;-;-;-;-
A carpenter’s tool;Ladder;-;-;-;-;-;-;-;-;-;0.06;-;5.40 (0.89)
A carpenter’s tool;Lathe;-;-;-;-;-;-;0.09;-;4.43 (2.15);-;-;-
A carpenter’s tool;Nail gun;-;-;-;-;-;-;-;-;-;0.06;-;4.80 (1.30)
A carpenter’s tool;Sandpaper;-;-;-;-;-;-;0.09;-;4.86 (1.57);-;-;-
A carpenter’s tool;Vice grips;-;-;-;-;-;-;0.05;-;5.25 (2.50);-;-;-
A chemical element;Hydrogen;0.50;0.13;2.66 (1.56);0.49;0.10;3.00 (1.84);0.51;0.15;2.50 (1.41);0.51;0.13;2.48 (1.37)
A chemical element;Oxygen;0.47;0.15;2.44 (1.38);0.51;0.16;2.45 (1.53);0.43;0.13;2.55 (1.28);0.49;0.15;2.31 (1.31)
A chemical element;Iron;0.28;0.13;2.64 (2.03);0.20;0.10;2.94 (2.44);0.28;0.13;2.50 (1.79);0.37;0.18;2.58 (2.00)
A chemical element;Carbon;0.25;0.06;3.59 (2.18);0.34;0.08;3.46 (2.25);0.24;0.04;4.15 (2.14);0.19;0.07;3.12 (2.09)
A chemical element;Nitrogen;0.24;0.03;3.25 (1.88);0.24;0.04;2.85 (1.42);0.27;0.05;3.33 (2.18);0.23;0.01;3.57 (1.98)
A chemical element;Helium;0.23;0.03;3.17 (1.83);0.28;0.05;3.52 (2.31);0.23;0.03;2.66 (1.19);0.20;0.01;3.23 (1.60)
A chemical element;Gold;0.21;0.03;4.28 (2.03);0.23;0.02;4.47 (1.93);0.20;0.04;4.50 (2.34);0.21;0.04;3.88 (1.91)
A chemical element;Silver;0.15;-;5.11 (1.97);0.14;-;4.58 (1.73);0.11;-;6.00 (2.24);0.18;-;5.00 (1.93)
A chemical element;Sodium;0.11;0.04;3.07 (2.21);0.12;0.02;3.70 (1.95);0.09;0.05;2.28 (1.70);0.13;0.05;3.00 (2.68)
A chemical element;Aluminum;0.09;0.01;4.30 (1.72);0.08;0.01;4.85 (2.41);0.06;0.01;3.60 (1.67);0.13;-;4.27 (1.19)
A chemical element;Copper;0.08;0.01;4.43 (1.91);0.07;-;4.66 (1.97);0.10;0.03;3.50 (2.27);0.08;-;5.28 (0.95)
A chemical element;Chlorine;0.08;0.01;3.95 (2.06);0.08;-;4.71 (1.98);0.11;0.03;2.88 (1.90);0.05;-;5.00 (1.83)
A chemical element;Water;0.08;0.04;2.37 (2.14);-;-;-;0.09;0.04;2.57 (1.62);0.13;0.08;2.36 (2.54)
A chemical element;Mercury;0.07;0.03;3.11 (2.54);0.05;0.05;1.00 (0.00);0.06;0.03;4.85 (3.35);0.11;0.01;6.14 (2.24)
A chemical element;Uranium;0.07;-;5.78 (2.96);0.05;-;6.33 (3.77);0.09;-;4.60 (2.48);0.08;0.01;4.00 (3.13)
A chemical element;Lead;0.07;-;4.94 (2.31);0.07;-;1.00 (2.42);0.06;-;3.20 (2.07);0.08;0.01;4.00 (2.08)
A chemical element;Potassium;0.06;-;4.71 (2.92);0.10;-;5.25 (2.49);0.04;-;2.00 (0.00);0.04;-;6.00 (4.36)
A chemical element;Zinc;0.05;0.01;3.77 (1.96);0.04;0.01;2.66 (2.08);0.06;0.01;3.80 (2.28);0.06;-;4.40 (1.67)
A chemical element;Acid;0.05;0.02;1.92 (0.86);0.07;0.04;1.83 (0.98);0.05;0.01;2.00 (0.82);0.04;0.01;2.00 (0.00)
A chemical element;Cobalt;-;-;-;-;-;-;0.05;-;3.00 (2.00);-;-;-
A chemical element;Gas;-;-;-;-;-;-;-;-;-;0.06;0.01;2.00 (0.71)
A chemical element;Holmium;-;-;-;-;-;-;0.05;0.05;1.00 (1.19);-;-;-
A chemical element;Magnesium;-;-;-;-;-;-;0.05;-;4.00 (2.71);-;-;-
A chemical element;Neon;-;-;-;0.07;0.01;3.50 (2.59);-;-;-;-;-;-
A chemical element;Plutonium;-;-;-;-;-;-;0.05;-;6.00 (2.45);-;-;-
A chemical element;Radium;-;-;-;-;-;-;0.05;-;6.50 (2.52);0.07;-;5.33 (2.07)
A chemical element;Sulfur;-;-;-;-;-;-;0.05;0.03;4.00 (4.24);0.06;0.04;2.20 (2.17)
A city;New York City;0.61;0.26;2.36 (1.81);0.65;0.23;2.38 (1.69);0.53;0.23;2.80 (2.45);0.65;0.33;2.00 (1.18)
A city;Los Angeles;0.36;0.03;3.96 (2.40);0.37;0.05;3.74 (2.67);0.42;0.05;4.03 (2.20);0.31;-;4.11 (2.39)
A city;Chicago;0.32;0.09;2.95 (1.94);0.29;0.10;3.04 (2.18);0.30;0.09;3.00 (2.17);0.38;0.08;2.84 (1.61)
A city;Dallas;0.22;0.04;4.84 (2.73);0.23;0.02;5.47 (2.99);0.29;0.06;4.13 (2.55);0.15;0.02;5.15 (2.58)
A city;Miami;0.21;0.01;4.89 (2.49);0.20;0.01;5.41 (3.56);0.15;0.01;4.50 (2.65);0.29;0.01;4.70 (1.60)
A city;Boston;0.21;0.04;3.74 (2.40);0.25;0.02;3.71 (2.40);0.18;0.03;3.85 (2.48);0.21;0.07;3.66 (2.63)
A city;San Francisco;0.19;0.02;5.31 (2.65);0.25;0.01;6.14 (2.80);0.19;0.03;4.80 (2.21);0.14;0.01;4.50 (2.68)
A city;Atlanta;0.17;0.02;4.42 (2.73);0.18;0.01;4.73 (3.17);0.19;0.04;3.33 (2.02);0.15;0.02;5.30 (2.66)
A city;Houston;0.17;0.02;5.62 (2.88);0.20;0.02;5.05 (2.75);0.16;0.03;5.84 (3.31);0.14;-;6.16 (2.66)
A city;Austin;0.14;0.01;5.12 (2.45);0.17;-;5.64 (2.41);0.16;0.01;4.69 (2.59);0.08;0.01;4.85 (2.41)
A city;Seattle;0.14;0.02;4.85 (2.09);0.17;0.01;4.50 (1.74);0.18;0.01;5.57 (1.83);0.07;0.02;4.00 (3.10)
A city;Paris;0.13;0.01;3.73 (1.96);0.11;0.04;3.33 (2.35);0.11;-;4.00 (1.66);0.18;-;3.80 (1.97)
A city;London;0.13;0.01;4.26 (2.27);0.10;0.01;3.37 (2.50);0.10;-;4.62 (1.92);0.18;0.02;4.53 (2.33)
A city;Philadelphia;0.12;0.02;3.97 (2.62);0.13;0.05;3.72 (2.90);0.10;0.01;4.25 (3.01);0.13;-;4.00 (2.24)
A city;Las Vegas;0.12;0.01;4.50 (2.52);0.14;0.01;4.25 (2.18);0.14;0.03;4.45 (2.84);0.08;-;5.00 (2.83)
A city;Sacramento;0.11;-;5.68 (2.47);0.18;-;5.60 (2.67);0.09;-;6.85 (2,27);0.07;-;4.50 (1.76)
A city;Detroit;0.10;0.03;4.04 (3.04);0.07;0.04;4.50 (4.04);0.10;0.03;3.62 (2.39);0.12;0.02;4.10 (3.14)
A city;Orlando;0.10;-;5.25 (2.52);0.14;0.01;5.66 (2.57);0.11;-;4.77 (2.64);0.04;-;5.00 (2.65)
A city;Portland;0.09;-;5.23 (2.47);0.10;0.01;5.37 (3.25);0.08;-;4.50 (2.17);0.10;-;5.62 (1.92)
A city;Denver;0.09;0.01;5.00 (2.69);0.11;0.01;5.77 (2.82);0.06;0.01;4.00 (2.55);0.10;0.01;4.75 (2.71)
A city;Washington D.C.;0.07;-;4.56 (1.92);0.07;0.01;3.16 (1.47);0.08;-;5.66 (2.34);0.07;-;4.83 (0.98)
A city;Pittsburgh;0.07;0.02;3.47 (2.40);0.05;0.01;3.00 (2.16);0.05;0.03;2.00 (1.41);0.11;0.02;4.33 (2.65)
A city;Phoenix;0.07;-;5.06 (3.33);0.06;-;3.80 (3.49);0.09;-;7.28 (2.98);0.06;0.01;3.20 (1.92)
A city;San Diego;0.07;-;5.71 (2.28);0.10;-;6.50 (2.33);0.06;-;4.80 (2.68);0.05;-;5.25 (1.50)
A city;Tampa;0.06;-;4.53 (1.77);-;-;-;0.11;-;5.33 (1.50);0.06;-;3.00 (1.41)
A city;Cleveland;0.06;0.01;4.43 (1.91);0.07;0.02;3.83 (2.64);0.03;-;5.00 (0.00);0.07;-;4.83 (1.33)
A city;Charlotte;0.05;-;6.00 (2.92);0.07;-;6.83 (3.66);0.06;-;5.20 (2.59);0.02;-;5.50 (0.71)
A city;Baltimore;-;-;-;0.07;-;3.83 (1.72);-;-;-;-;-;-
A city;Indianapolis;-;-;-;0.06;0.02;3.20 (2.17);-;-;-;-;-;-
A city;Jacksonville;-;-;-;-;-;-;0.05;0.03;3.75 (3.77);-;-;-
A city;Little Rock;-;-;-;-;-;-;0.05;0.01;4.00 (2.94);-;-;-
A city;New Orleans;-;-;-;-;-;-;0.06;-;6.00 (3.67);-;-;-
A city;Newark;-;-;-;-;-;-;-;-;-;0.06;-;4.00 (2.45)
A city;Rome;-;-;-;-;-;-;-;-;-;0.10;0.02;4.25 (3.49)
A city;San Antonio;-;-;-;0.06;-;6.20 (3.42);-;-;-;-;-;-
A city;St. Louis;-;-;-;-;-;-;0.05;-;5.00 (2.45);-;-;-
A city;Tokyo;-;-;-;0.08;-;4.57 (2.29);-;-;-;-;-;-
A city;Toronto;-;-;-;-;-;-;0.05;-;5.00 (1.41);-;-;-
A city;Tulsa;-;-;-;-;-;-;0.05;-;4.50 (3.32);-;-;-
A college or university;Harvard;0.53;0.15;2.90 (1.84);0.60;0.20;2.62 (1.75);0.49;0.14;2.97 (1.83);0.51;0.12;3.16 (1.96)
A college or university;Yale;0.43;0.09;3.19 (1.96);0.48;0.10;3.05 (1.91);0.46;0.08;3.19 (1.80);0.37;0.10;3.35 (2.24)
A college or university;Princeton;0.19;;4.13 (2.04);0.19;0.01;3.62 (1.78);0.22;-;4.23 (2.28);0.17;-;4.57 (2.03)
A college or university;Stanford;0.17;0.02;4.30 (2.33);0.18;0.01;5.40 (2.56);0.18;0.01;4.00 (2.22);0.17;0.02;3.42 (1.83)
A college or university;UCLA;0.16;0.03;3.21 (2.3);0.14;0.06;2.50 (1.83);0.11;0.01;4.11 (2.15);0.21;0.02;3.22 (2.02)
A college or university;Georgia Tech;0.15;0.05;2.81 (1.88);0.10;0.04;2.75 (2.49);0.27;0.06;3.14 (1.77);0.08;0.05;1.85 (1.21)
A college or university;Duke;0.13;0.03;3.48 (2.29);0.14;0.06;2.91 (2.35);0.10;0.01;2.62 (1.30);0.13;0.02;4.72 (2.41)
A college or university;USC;0.11;0.02;3.63 (2.10);0.12;-;3.70 (1.83);0.06;0.01;4.20 (3.27);0.14;0.04;3.33 (1.87)
A college or university;MIT;0.10;0.01;4.08 (1.79);0.10;-;4.75 (1.49);0.10;0.03;4.00 (2.39);0.10;-;3.50 (1.31)
A college or university;Ohio State;0.09;0.03;3.13 (1.98);0.08;0.04;2.57 (1.72);0.11;0.03;4.00 (2.29);0.08;0.04;2.57 (1.62)
A college or university;Brown;0.08;-;4.52 (2.27);0.08;0.01;5.85 (3.02);0.08;-;3.66 (1.37);0.10;-;4.00 (1.69)
A college or university;Columbia;0.08;-;5.05 (2.16);0.11;-;5.66 (2.55);0.06;0.01;3.80 (1.92);0.07;-;5.16 (1.47)
A college or university;NYU;0.08;0.02;3.90 (2.97);0.12;0.02;5.00 (3.50);0.05;0.01;4.25 (2.36);0.07;0.02;1.83 (0.75)
A college or university;Notre Dame;0.07;-;4.35 (2.80);0.06;-;4.60 (3.44);0.08;0.01;4.33 (3.72);0.07;-;4.16 (1.33)
A college or university;North Carolina;0.07;0.01;4.24 (2.08);0.07;0.02;4.33 (2.80);0.06;0.01;3.80 (2.39);0.07;-;4.50 (1.05)
A college or university;Penn State;0.07;0.01;3.35 (1.66);0.08;0.02;3.00 (1.91);0.06;0.01;3.00 (1.58);0.06;-;4.20 (1.30)
A college or university;Texas;0.06;0.01;3.19 (1.64);0.07;-;4.00 (1.67);0.09;0.03;2.57 (1.81);0.04;-;3.00 (0.00)
A college or university;Rutgers;0.06;0.02;3.87 (2.50);0.05;-;4.00 (1.63);0.08;0.01;5.00 (2.61);0.06;0.04;2.40 (2.61)
A college or university;Berkeley;0.06;0.01;3.80 (1.66);0.08;-;5.00 (1.15);0.05;0.03;2.00 (1.15);0.05;-;3.50 (1.00)
A college or university;Michigan State;0.06;0.01;3.80 (1.82);0.08;-;4.14 (1.57);0.05;0.03;3.50 (3.00);0.05;-;3.50 (1.00)
A college or university;Cornell;0.06;-;5.53 (2.64);0.11;0.01;5.66 (3.12);0.03;-;4.50 (0.71);0.05;-;5.75 (2.36)
A college or university;Michigan;0.06;0.01;3.36 (2.27);0.08;0.02;2.85 (1.68);-;-;-;0.07;0.01;3.16 (2.32)
A college or university;Dartmouth;0.06;-;5.29 (2.37);0.07;-;5.50 (1.87);0.05;-;6.75 (3.10);0.05;-;3.50 (1.29)
A college or university;Oxford;0.06;0.01;4.36 (2.47);0.07;0.02;3.66 (2.34);0.06;-;5.20 (2.59);0.04;0.01;4.33 (3.06)
A college or university;Cambridge;0.05;-;4.08 (1.75);0.02;-;4.50 (0.71);0.08;0.01;4.50 (2.35);0.06;-;3.40 (1.14)
A college or university;Florida State;0.05;-;3.92 (2.10);0.04;-;3.33 (2.31);0.06;0.01;3.00 (1.87);0.06;-;5.20 (1.92)
A college or university;Alabama;-;-;-;-;-;-;0.06;0.03;2.60 (1.52);-;-;-
A college or university;Boston;-;-;-;0.06;0.01;4.80 (3.27);-;-;-;-;-;-
A college or university;Florida;-;-;-;-;-;-;-;-;-;0.06;-;4.80 (2.17)
A college or university;Georgia;-;-;-;-;-;-;-;-;-;0.07;0.01;3.50 (2.17)
A college or university;Kentucky;-;-;-;-;-;-;0.06;0.03;3.80 (2.59);-;-;-
A college or university;Purdue;-;-;-;-;-;-;0.08;0.04;2.17 (1.94);-;-;-
A college or university;Texas A&M;-;-;-;-;-;-;0.08;-;4.50 (1.64);-;-;-
A college or university;Virginia;-;-;-;-;-;-;0.06;0.01;4.60 (2.88);-;-;-
A color;Blue;0.97;0.25;2.50 (1.58);0.99;0.25;2.36 (1.27);0.97;0.25;2.79 (2.10);0.98;0.24;2.35 (1.23)
A color;Red;0.96;0.59;1.84 (1.51);0.94;0.57;1.88 (1.56);0.99;0.59;1.96 (1.66);0.96;0.62;1.69 (1.29)
A color;Green;0.92;0.05;3.99 (2.14);0.94;0.07;4.24 (2.38);0.89;0.05;3.95 (2.21);0.96;0.04;3.77 (1.82)
A color;Yellow;0.85;-;4.66 (2.05);0.86;-;4.76 (1.97);0.90;-;4.69 (2.28);0.82;-;4.52 (1.89)
A color;Orange;0.79;-;5.38 (2.15);0.83;-;5.31 (2.05);0.82;-;5.16 (2.05);0.73;0.01;5.67 (2.35)
A color;Purple;0.77;0.03;5.55 (2.20);0.78;0.02;5.96 (2.42);0.80;0.05;5.14 (2.05);0.74;0.01;5.53 (2.04)
A color;Black;0.72;0.04;6.20 (2.66);0.75;0.04;6.53 (2.90);0.76;0.04;6.06 (2.62);0.68;0.04;5.96 (2.43)
A color;White;0.58;-;7.08 (2.65);0.64;-;7.75 (2.57);0.52;0.01;7.00 (2.91);0.58;-;6.40 (2.36)
A color;Pink;0.55;0.03;6.92 (2.81);0.69;0.05;6.50 (3.16);0.54;-;6.88 (2.21);0.43;0.04;7.61 (2.80)
A color;Brown;0.38;-;7.27 (2.22);0.37;-;8.32 (2.52);0.33;-;7.38 (2.14);0.45;-;6.34 (1.58)
A color;Gray;0.21;-;8.35 (3.01);0.25;-;8.52 (3.12);0.24;-;8.68 (3.06);0.13;0.01;7.45 (2.81)
A color;Violet;0.19;-;7.26 (1.84);0.23;-;7.73 (1.85);0.14;-;6.72 (1.79);0.20;-;7.05 (1.82)
A color;Magenta;0.13;-;8.48 (2.17);0.13;-;7.90 (2.39);0.18;-;9.42 (1.87);0.07;-;7.33 (1.75)
A color;Teal;0.11;-;9.22 (2.06);0.12;-;9.70 (1.77);0.11;-;9.70 (2.00);0.10;-;7.75 (1.91)
A color;Indigo;0.10;-;7.58 (2.04);0.19;-;7.62 (2.00);0.08;-;8.00 (2.53);0.05;-;6.75 (1.71)
A color;Tan;0.09;-;9.57 (2.13);0.07;-;9.33 (3.01);0.08;-;9.33 (2.00);0.13;-;9.45 (1.81)
A color;Turquoise;0.09;-;8.91 (2.27);0.07;-;9.16 (2.64);0.10;-;9.25 (2.43);0.11;-;8.44 (2.07)
A color;Silver;0.08;-;8.85 (2.60);0.11;-;8.88 (3.14);0.09;-;9.28 (2.14);0.05;-;8.00 (2.45)
A color;Lavender;0.07;-;8.94 (2.44);0.05;-;8.00 (4.55);0.10;-;9.37 (1.60);0.06;-;9.00 (1.58)
A color;Gold;0.06;-;7.73 (3.01);0.05;-;8.00 (2.63);0.05;-;11.75 (4.08);0.08;-;8.16 (2.38)
A color;Beige;0.06;-;9.07 (2.49);0.06;-;9.75 (2.55);0.05;-;7.00 (1.50);0.07;-;7.00 (1.72)
A color;Aqua;-;-;-;0.06;-;11.20 (1.30);-;-;-;-;-;-
A color;Chartreuse;-;-;-;-;-;-;-;-;-;0.06;-;8.20 (2.28)
A color;Cyan;-;-;-;-;-;-;0.05;-;8.50 (3.42);-;-;-
A color;Fuchsia;-;-;-;-;-;-;0.06;-;9.60 (0.55);-;-;-
A color;Maroon;-;-;-;0.11;-;10.22 (2.44);-;-;-;-;-;-
A color;Mauve;-;-;-;-;-;-;0.05;-;8.75 (0.50);-;-;-
